"3ª Fase eSocial - Fechamento grupos 1,2 e 3",zoom,230
TESTE ZOOM 2,zoom,23
Como habilitar uma empresa para o eSocial e interpretação do XML de envio,zoom,231
ZOOM MATRICULA #1,zoom,24
Fechando a folha de pagamento através do Robomatic,zoom,232
"EFD Fiscal e Contribuições: Cadastros fundamentais, escrituração e arquivo",zoom,233
ZOOM MATRICULA #2,zoom,25
Módulo Financeiro - Integração com o Contábil Phoenix,zoom,234
Contabilidade Financeira,zoom,33
13º Salário - Aspectos legais e práticos,zoom,235
Excel Avançado para Contadores,zoom,236
Noções gerais de desoneração da folha de pagamento,zoom,237
Distribuição de lucros - Aspectos Fiscais e Contábil,zoom,238
SST no eSocial | 4ª fase,zoom,239
DCTFWeb na prática  ,zoom,240
13º Salário | 1ª Parcela,zoom,241
Palestra Simultânea,zoom,109
Férias Coletivas,zoom,242
Gestão Financeira - Contas a Pagar e Receber,zoom,243
Substituição Tributária - ICMS ST,zoom,244
Principais Obrigações Acessórias do Departamento Fiscal,zoom,245
Práticas do Planejamento Tributário,zoom,246
eSocial e DCTF Web na Prática,zoom,247
Como Calcular os Descontos Legais em Folha de Pagamento,zoom,248
Contabilidade Básica (teste),zoom,36
CPC 32 - Tributos sobre o Lucro,zoom,250
Contabilidade Avançada,zoom,48
DCTF Web: Como Conferir e Entregar?,zoom,251
ZOOM MATRICULA #1,zoom,53
13° Salário no eSocial,zoom,252
ZOOM MATRICULA #2,zoom,54
"Especialização em SPED (EFD ICMS/IPI, EFD Contribuições e EFD Reinf)",zoom,253
TESTE ZOOM MATRICULA #10,zoom,79
Encerramento de Balanço Contábil,zoom,254
TESTE MATRICULA ZOOM #11,zoom,80
SST no eSocial. O que precisamos saber?,zoom,256
MATRICULA ZOOM #12,zoom,81
Fechamento da Folha com eSocial e DCTFWeb,zoom,258
MATRICULA ZOOM #13,zoom,82
13º Salário,zoom,259
Palestra Simultânea (2),zoom,110
Contabilidade Financeira,zoom,83
"SST no eSocial - 4ª fase (Empresas G1, G2 e G3)",zoom,260
Contábil Phoenix - Parte Cadastral,zoom,85
PER/DCOMP Web na Prática,zoom,261
Analista Tributário (SV),zoom,86
Departamento Pessoal Básico,zoom,87
Perícia Contábil,zoom,88
Gestão Tributária,zoom,89
ZOOM MULTIPLOS EVENTOS #1,zoom,90
TESTE ZOOM #18,zoom,91
Auditoria Contábil,zoom,92
Palestra EFD Reinf,zoom,93
Palestra EFD ICMS/IPI,zoom,94
SST - Segurança e Saúde do Trabalho,zoom,95
Controladoria Contábil,zoom,96
Analista de Comércio Exterior,zoom,97
Contabilidade Empresarial,zoom,98
Gestão Financeira,zoom,111
Ativo Imobilizado,zoom,99
